at_Q80_time_2	at_Q80_time_6	at_Q80_time_10	at_Q92_time_2	at_Q92_time_6	at_Q92_time_10	at_Q111_time_2	at_Q111_time_6	at_Q111_time_10	at_Q140_time_2	at_Q140_time_6	at_Q140_time_10	at_Q175_time_2	at_Q175_time_6	at_Q175_time_10
Flt3	-0.01730441	-0.01147889	-0.0731019	-0.02281526	-0.02758694	0.04253633	0.02592964	0.05599947	0.02205053	0.001908768	-0.1287137	0.1702461	-0.0249911	-0.01905597	0.04157936
Flt3l	0.002366541	0.03810465	-0.04480472	-0.01091686	0.03734649	0.04420225	-0.006779106	0.1017307	0.2494861	0.01193448	0.1775363	0.2122498	0.07203849	0.1671922	0.3116957
Flt4	-0.006368142	-0.002150713	0.1061016	-0.01555196	-0.03866424	0.01127668	-0.02592317	-0.02840897	-0.06047119	0.01780566	-0.1213315	-0.03474083	-0.04859481	-0.1275028	0.04044711
Flywch1	-0.0165441	-0.008659433	-0.06126431	0.01617274	0.005160721	-0.06834412	0.05104308	-0.02395546	-0.01878453	-0.002229606	-0.05000095	-0.01860546	-0.0265571	-0.01488874	-0.04055608
Flywch2	0.04691698	-0.003196125	0.04831012	0.1296626	0.07668361	0.081765	0.1229016	0.0348306	0.2018721	0.02419613	-0.0007592849	0.2066342	0.1272867	-0.01605658	0.2171225
Fmn1	-0.0769245	-0.03698499	-0.1732686	-0.1013093	-0.04730803	0.0397344	0.006276611	0.07535529	0.08664987	0.008529114	-0.1511293	0.1142945	-0.09768029	-0.01906054	0.08230484
Fmn2	0.01171969	0.02230021	-0.04518705	-0.02427848	-0.04647986	-0.01943769	-0.006494901	0.01872428	0.06330945	0.02986687	0.05094952	0.01834061	-0.0013495	0.07273504	0.0130353
Fmnl1	0.1481075	-0.0161195	0.06262155	0.1045938	-0.008892996	-0.07850022	0.04371071	-0.06182679	-0.2787234	0.0801157	-0.1193825	-0.3145657	0.01943302	-0.08652719	-0.256391
Fmnl2	-0.03650007	0.04560355	-0.04155004	-0.0543733	-0.03329956	-0.0504047	-0.01331789	0.0511888	-0.01218894	0.02113504	0.06691882	-0.06237774	0.00854209	0.04927424	-0.04105977
Fmnl3	-0.01736114	-0.006308952	-0.1220809	-0.01377665	-0.03235696	-0.1751283	0.01515042	-0.01430125	-0.1940147	-0.04791868	-0.1185741	-0.240586	-0.09520196	-0.09549124	-0.1506654
Fmo1	0.03184565	-0.01225704	0.04464063	0.0008909187	0.03081875	-0.03014903	-0.05732194	-0.000183815	-0.005641347	0.02785064	0.0964655	-0.01580088	0.001298286	0.0581883	-0.05866352
Fmo2	-0.03218548	-0.02321824	-0.04993351	0.01137076	0.1097126	-0.1450173	-0.03025624	-0.1344774	-0.0329368	0.0182377	-0.1054109	0.07508411	-0.03672003	-0.1132543	-0.1219604
Fmo5	0.02645378	-0.001524323	-0.02384918	-0.04637853	-0.0241133	-0.06935938	0.03790329	0.02670611	-0.07154289	0.03431659	-0.001115822	-0.1676683	0.04309891	-0.08508031	-0.1633213
Fmod	-0.06540476	0.00448093	-0.01611875	-0.06084065	-0.04784466	-0.2298195	-0.1377134	0.009551123	-0.2050377	-0.0368885	-0.1145947	-0.3130047	-0.0009276198	-0.02680004	-0.1116318
Fmr1os	0.01497782	0.002620131	0.01386867	0.01088879	0.05828363	0.004759846	0.008338799	-0.009750008	-0.01791317	0.01286264	-0.01940793	0.08898055	0.0006831404	0.06957098	0.08482521
Fn1	-0.02324655	0.02537223	-0.0159567	-0.09763366	-0.0326373	-0.1398316	-0.04761784	-0.04173801	-0.05453978	0.06348271	-0.08118385	-0.1139083	-0.02853555	-0.09872764	-0.1801445
Fn3k	0.04425941	0.008135274	-0.0001550609	0.02657241	0.0508302	-0.09015545	0.07886703	-0.0058495	-0.1719408	-0.007173228	-0.06330654	-0.1695496	-0.03812792	-0.06234564	-0.2690538
Fn3krp	0.04261745	-0.0008633966	0.03768878	-0.0004690708	0.05989525	0.02942819	0.07070532	0.05173476	0.04863795	0.03177943	0.02887043	0.129102	0.04119256	0.02712306	0.05368437
Fnbp1	-0.09302409	0.0008682738	-0.1023302	-0.01927699	-0.06179016	-0.08621157	0.01751997	-0.02141766	-0.1677147	-0.05678631	-0.08183136	-0.2520572	-0.1507607	-0.1359591	-0.2887126
Fnbp1l	0.08804917	0.04423757	0.02970227	0.05478861	0.002211898	-0.03267649	-0.02527295	-0.04126746	-0.170164	-0.001956029	0.01637882	-0.3268356	-0.04507516	-0.02096497	-0.3581564
Fnbp4	-0.05299437	0.01289306	-0.05411349	-0.03456446	-0.03600555	0.007962972	-0.06287738	0.01387331	0.05648395	-0.09445879	0.03459216	-0.02942449	-0.06541515	-0.01394753	-0.006235891
Fndc1	0.01029859	-0.0902609	-0.1531025	-0.01365165	0.002071225	-0.1370597	0.01402413	-0.05106533	-0.09389591	-0.02466091	-0.07976831	-0.1749793	-0.0493554	-0.1104744	-0.177191
Fndc3a	0.03863474	-0.02127444	-0.08513496	-0.008163303	-0.02291578	-0.0197257	-0.03644701	0.01275893	0.06258631	0.02669758	0.04680777	0.002742045	0.0284465	0.05842101	0.06400079
Fndc3b	0.07419521	0.02370163	0.04936632	0.004326893	-0.03418126	0.05917638	0.007959155	0.003318539	0.09949987	0.03243883	0.08802058	0.03055575	0.04088281	0.06624974	-0.06167427
Fndc4	-0.003727594	0.03377688	0.02098189	0.01704141	0.0553164	0.06624757	0.09182766	0.1316289	0.1037913	0.03076383	0.06544903	0.1840389	0.08602096	0.101243	0.1396831
Fndc5	0.03876009	-0.01022916	0.03090139	-0.01336811	-0.05527163	0.04893875	0.09932517	0.01387515	0.001668783	0.02792321	-0.0891926	0.1645931	-0.02327765	-0.01350581	-0.01377747
Fndc8	0.04212407	-0.02120129	0.01321832	-0.02880085	0.005804611	-0.07787749	-0.06509693	-0.05802249	-0.06314916	-0.03664775	-0.05283395	-0.07050903	0.01171204	-0.1270034	-0.2185549
Fndc9	0.1206567	0.03687608	0.09591902	0.1018615	-0.04065018	-0.1182186	0.0288585	-0.1040213	-0.3860916	0.007974498	-0.0596639	-0.2167232	-0.1820416	-0.04728741	-0.1970348
Fnip1	-0.04353945	0.01164992	-0.0488396	-0.01164058	-0.01434204	-0.02811401	-0.07154364	-0.07188672	-0.09428224	-0.03621239	-0.03537172	-0.1187461	-0.04077148	-0.02786068	-0.07751928
Fnip2	0.004086316	-0.04215947	-0.04908295	-0.006306587	-0.06856382	-0.02379383	-0.01639215	-0.04576952	-0.06229858	-0.00868067	-0.05969267	-0.09113627	-0.0215288	-0.08159603	-0.06576407
Fnta	0.04597044	-0.03253406	0.06429398	0.02429287	0.02014412	0.09501069	0.05420662	0.02111255	0.06765202	0.04680202	0.0210466	0.1414972	0.08368159	0.06673635	0.1586689
Fntb	0.02643258	0.05055346	0.0906713	0.01982466	0.04507679	0.04448733	0.00898102	-0.00439727	0.02448233	-0.001046459	0.04840382	0.07228861	0.08497312	0.02032664	0.03400766
Focad	0.02263805	-0.02199864	0.03332361	0.01167154	0.006720273	-0.02257922	-0.00297609	0.0006144276	-0.01151025	-0.02124451	-0.0004977971	-0.1006464	-0.0143236	-0.01333889	-0.1070334
Folh1	-0.0698252	0.02623676	-0.02780386	-0.1013013	0.0215356	0.0759184	-0.04692947	0.1118375	0.217814	-0.005425478	0.1133155	0.2495325	-0.06299036	0.201481	0.2376665
Folr1	-0.02275513	0.03478495	0.06056081	-0.006935697	0.0598999	-0.04336366	-0.01144308	0.043587	-0.1108417	0.002779978	0.1680557	0.3421098	0.05195196	0.008458478	0.03493763
Folr2	-0.01104057	-0.003907969	-0.05275931	-0.02639419	0.003698906	0.01231424	-0.01872661	0.00568225	-0.202337	-0.009592944	-0.09093887	-0.2197565	-0.02430914	-0.06719423	-0.2424321
Fopnl	0.04524413	-0.02485989	0.07946667	0.03813829	0.00101014	0.1167156	-0.01232077	-0.03061356	0.05855184	-0.01740786	-0.03888935	0.08314442	0.06703398	-0.006093627	0.09819172
Fos	-0.06653489	0.0228168	0.1445526	-0.0003015511	-0.07954628	0.07240363	-0.03515354	-0.03047469	-0.06781491	-0.05141994	-0.08522968	0.1916103	-0.04387873	-0.226659	0.2508804
Fosb	-0.02081832	0.03207001	0.3322725	-0.009186699	-0.08700283	0.1086925	-0.08755041	-0.0268835	-0.03360797	-0.01024939	-0.09175617	0.2319773	-0.004530659	-0.1726013	0.3414196
Fosl1	-0.01339567	0.01890266	0.01702952	0.03052849	-0.0158299	-0.1273448	-0.02924887	-0.1343569	-0.3442965	-0.002645741	-0.1847524	-0.3460904	-0.04931654	-0.1612452	-0.2622656
Fosl2	0.008638941	0.01244779	0.07830955	-0.005449508	-0.05654628	0.06888275	-0.05242468	-0.03815782	-0.121423	-0.02029077	-0.09196719	-0.03049708	-0.01804327	-0.1502456	0.03649562
Foxa1	0.002383964	0.01482363	0.01134974	0.008114987	0.003009729	-0.00626258	0.01253704	0.03075113	-0.02658271	0.003260095	-0.01109293	0.0501777	-0.003358046	0.04443874	-0.005632914
Foxc1	0.02960718	-0.009946566	0.07157892	-0.01332173	-0.06292703	-0.02356046	-0.006295486	0.01429849	-0.08156824	0.06006647	-0.1426852	0.008791076	0.08442308	-0.009281587	0.04240829
Foxd1	-0.008722338	0.07871226	-0.04135875	-0.01687375	0.03504648	-0.0465526	-0.03183192	0.08248884	-0.06335105	-0.02125321	0.01409215	0.0289229	0.0071269	0.08423801	-0.1593029
Foxd2	-0.02928615	0.008657393	-0.02126574	-0.02025285	-0.01326583	-0.02952013	-0.01820886	0.02127444	-0.05457178	-0.01269125	-0.009000328	-0.0956755	-0.01530062	-0.02653578	-0.04906852
Foxf1	-0.02315283	0.01198891	-0.1005008	-0.04628015	-0.07934924	0.003417083	-0.003600186	-0.08885992	-0.1171306	-0.01312757	-0.1281568	-0.2428014	0.03448113	-0.2004806	0.001915054
Foxf2	-0.02338694	-0.01864991	0.08015176	-0.03296185	-0.05899946	0.09599096	-0.03797029	-0.01842997	0.008129904	-0.03197298	-0.07777429	-0.05735515	0.03821556	-0.1202363	-0.06372194
Foxg1	0.05224508	-0.02574136	0.08492429	0.03848353	-0.06684341	-0.04687222	-0.09577284	-0.1122587	-0.2807589	-0.03656203	-0.1318944	-0.3568659	-0.04545526	-0.1032048	-0.3334199
Foxm1	-0.08126822	0.07256121	-0.07510549	-0.07540014	0.04763937	-0.0685888	-0.040449	0.02481587	-0.03150797	-0.0434523	0.1292333	-0.003876807	-0.006109278	0.0927319	0.1126676
Foxn2	0.0281472	-0.03483423	0.007984903	0.04285185	-0.1274496	-0.01199293	-0.022509	-0.1314653	-0.1580543	-0.04944466	-0.1188446	-0.1800956	-0.03948527	-0.1563222	-0.1453888
Foxn3	-0.07663229	-0.0509341	-0.2024201	-0.06363635	-0.05549993	-0.06370157	-0.05110211	0.02528563	-0.008638129	-0.05742026	-0.09242371	-0.1445608	-0.08826601	-0.02742366	-0.1402384
Foxo1	0.07077441	0.04795869	0.0442149	0.02335713	-0.0598216	-0.07478971	0.02799454	-0.1381813	-0.3360158	-0.02159741	-0.06304587	-0.4601622	-0.05437236	-0.1265	-0.431123
Foxo3	0.01589167	-0.0163215	0.01405918	0.03775197	-0.05702793	-0.0337735	0.00847904	-0.0477614	-0.0580033	-0.009413663	-0.06071184	-0.04275849	-0.04507498	-0.06603529	-0.0596706
Foxo4	0.04569406	0.02419814	0.04502448	-0.01356334	0.09031355	0.03551927	0.02043584	0.04693124	0.1430279	0.01454663	0.02869571	0.06872206	0.06261031	0.07331636	0.07465935
Foxo6	-0.07821111	-0.0108696	0.04205549	0.002585384	-0.1381996	-0.01071984	-0.03224676	-0.02498989	0.02601921	0.02186646	0.003571509	-0.07406597	0.0120027	0.008404591	-0.1622739
Foxp1	0.08276116	0.02453529	0.06194998	0.0705182	-0.08666887	-0.02136567	0.01023327	-0.1218657	-0.2221807	-0.02828492	-0.07654742	-0.3424829	-0.05566144	-0.09356132	-0.3220464
Foxp2	0.04649811	0.04114927	0.06838929	0.04885216	-0.01796623	0.08676165	-0.01530458	-0.0122154	0.04687226	-0.005202197	0.1017313	-0.008773835	0.0618137	0.0648919	-0.02870996
Foxp3	0.003602413	-0.03119116	-0.03124165	-0.01063415	-0.03461044	-0.03693733	-0.003101094	-0.03215484	-0.02738719	-0.00240774	-0.07702431	-0.1700849	0.006761254	-0.1434705	-0.1763145
Foxp4	-0.02493537	0.01753835	-0.01710054	0.02770165	-0.01230838	0.02264912	-0.03279332	0.0479181	0.1893105	0.006254614	0.07044694	0.1747742	0.07807793	0.09084411	0.1966459
Foxq1	0.0147183	-0.06061638	-0.002395362	0.02146802	-0.1204836	-0.1462116	0.03240775	-0.0812112	-0.2627766	0.0697108	-0.117292	-0.1934365	0.04103615	-0.1119298	-0.3058967
Foxr2	0.03229154	-0.00257233	-0.03256097	-0.04439253	-0.01204239	-0.01411685	0.01949122	-0.06626701	-0.15924	-0.01006664	-0.09386463	-0.3473789	-0.001544161	-0.2186673	-0.2824771
Foxred1	-0.01586257	0.00990971	-0.03494717	0.0124094	0.02062096	0.002969742	0.00303019	0.000641404	0.02353879	-0.01933718	-0.00214599	-0.01115653	0.02551503	-0.05370104	-0.01217347
Foxred2	-0.05983241	-0.04914586	-0.1012253	0.0004949745	-0.04652074	-0.1207506	0.003390347	-0.02875215	-0.06441934	0.01162666	-0.06254698	-0.09848429	-0.06041723	-0.08570558	-0.07137188
Foxs1	0.004977615	0.04741302	0.05407164	-0.01640278	-0.031237	0.06485189	0.01771574	-0.00282642	0.05567252	0.01167415	0.04629237	0.02717025	-0.005028308	-0.009579163	0.1004333
Fpgt	0.03390311	-0.007823138	0.03570713	0.05326872	-0.02838927	-0.06258398	0.003798646	-0.07205914	-0.1287353	-0.02044604	-0.04370167	-0.1572437	-0.02111093	-0.05349019	-0.2362094
Fpr1	-0.02874912	-0.01126295	-0.05653816	-0.0117019	-0.01774815	-0.06784549	-0.04490524	-0.1005136	-0.2370698	-0.05715829	-0.1187907	-0.4304422	-0.07519853	-0.2288754	-0.2635236
Fpr2	-0.05258919	-0.05337966	-0.0864578	-0.04821743	-0.0490146	-0.0286408	-0.02739534	-0.2077075	-0.1999733	-0.06509821	-0.1949826	-0.2672977	-0.06707718	-0.3123242	0.07445611
Fra10ac1	0.02481854	-0.004967711	-0.01187307	-0.0003448629	0.0223529	0.01657905	-0.04484763	-0.02683704	-0.02232681	-0.02436552	0.04428115	-0.02851011	0.008776903	-0.02029085	-0.1248404
Fras1	0.1030829	-0.06679327	0.002981887	0.01274055	-0.09008695	-0.03876653	-0.03771288	0.003111825	-0.0351366	0.01552045	-0.06849727	-0.01047739	-0.005532398	-0.03073564	-0.04444037
Frat2	0.01182254	-0.01284723	0.01993046	0.01466259	-0.01570573	-0.1219811	0.02357516	-0.09376836	-0.2873176	0.005439477	-0.05466302	-0.4005539	-0.01411942	-0.1764407	-0.3246081
Frem1	-0.03623867	0.02854951	-0.05411448	-0.02360667	-0.0271181	-0.1189607	-0.07315052	0.0312594	-0.2665507	-0.01170778	-0.02984562	-0.165671	-0.005619951	-0.02575098	-0.1578205
Frem2	0.02274597	0.02221633	0.01646493	0.003912329	0.003764882	0.112258	-0.07205236	0.03146857	0.01341669	-0.07831378	0.005475161	-0.3000332	0.002637229	-0.09825898	-0.1916682
Frmd3	0.09444196	-0.07600255	0.04897266	0.06323541	-0.03203867	0.0002755182	-0.01649491	-0.04497021	-0.01711702	0.01715485	-0.09602141	-0.1180867	0.02875995	-0.06076586	-0.1173139
Frmd4a	-0.06767935	-0.007480031	-0.06001051	-0.09683503	-0.08012504	0.03047097	-0.004906123	0.0442474	0.06250504	-0.04534944	0.02099706	0.08804306	-0.06944533	0.02851354	0.05753366
Frmd4b	-0.02398071	0.02572918	-0.02125451	-0.0101592	-0.04438197	-0.04413825	0.03279291	-0.04013794	-0.1111759	-0.01357298	-0.04686596	-0.1904889	-0.08196018	-0.06700149	-0.1554433
Frmd6	-0.01402135	-0.01095706	0.09745932	-0.03056838	0.0007977188	0.06948236	-0.04118412	-0.05190345	-0.1599356	-0.02209829	-0.09135984	-0.1697311	-0.03914477	-0.1755372	-0.09533331
Frmd7	-0.05390356	-0.001073541	0.09337887	-0.02430677	0.0178487	0.04240823	-0.05075512	-0.0184028	0.01370166	-0.04135692	0.009794605	0.095013	-0.05262887	-0.06146964	0.11067
Frmd8	-0.09085143	0.05170171	0.07598198	0.02639709	0.00678251	-0.04064996	-0.008211386	0.01454351	-0.07664801	-0.02445153	-0.01580598	-0.09361519	-0.08624782	-0.03517044	-0.1248011
Frmpd1	-0.01004642	0.05042359	0.01589206	-0.03098078	-0.04542957	0.0644216	0.07001213	0.09160074	0.1264603	0.03119005	-0.008019182	0.2161132	-0.02103321	0.06146735	0.06444157
Frmpd3	-0.04960587	-0.02303116	-0.06000942	-0.05694578	-0.08608626	-0.06337123	-0.06440899	-0.093443	-0.08790356	-0.0003744669	-0.02609829	-0.1907154	-0.1162461	0.1146265	-0.2213439
Frmpd4	-0.05699768	0.01384419	-0.08906953	-0.06046857	-0.03310004	-0.06983513	-0.1037242	-0.05154074	-0.1029594	-0.09844097	-0.03627534	-0.1245868	-0.1069102	-0.04095556	-0.1394781
Frrs1	-0.01446419	0.02178225	-0.03449473	-0.05241732	-0.002475982	-0.07079627	-0.003499327	-0.01238746	-0.006212789	-0.03707717	-0.1315783	-0.1706752	-0.01939967	-0.02889647	-0.07582901
Frrs1l	-0.03198868	0.005615435	-0.0719011	-0.004710806	-0.04278036	-0.05919204	-0.03518676	-0.09998933	-0.1708359	-0.0884336	-0.07208028	-0.1811108	-0.1013783	-0.05617185	-0.1853401
Frs2	0.0003924452	-0.0209239	-0.06773795	-0.02286061	-0.04972605	0.02459689	-0.03732092	0.00647282	0.06857399	-5.273296e-05	0.00965933	0.01397813	0.02513915	0.0193645	0.06614324
Frs3	-0.02832991	-0.006421658	0.06502793	0.08267705	0.007467711	-0.05039939	0.1273188	0.006620749	0.0896321	0.03928199	-0.0650884	0.08760974	0.0315098	-0.01472571	0.0752643
Fry	-0.022443	0.04595656	-0.01341677	-0.01880624	-0.0377172	-0.007562392	-0.008002184	-0.01451038	0.06194877	-0.04702492	0.09186069	0.0270939	-0.02833171	0.06622604	0.0275024
Fryl	-0.06430533	0.0047325	-0.05267622	-0.07032726	-0.08891017	0.03620007	-0.0009545698	0.06641768	0.1199854	-0.003262943	0.003760677	0.1622066	-0.08452063	0.02629295	0.1037414
Frzb	-0.08740843	0.04202797	0.009852826	-0.04752684	0.1166428	-0.07586755	-0.09802439	0.03879781	0.0226169	-0.02076495	0.04851091	0.01091325	-0.06275178	0.05521323	0.1250262
Fsbp	-0.008478667	0.04310352	-0.09093649	0.01541228	-0.09623178	-0.1115348	-0.02983293	-0.1412002	-0.3144155	-0.06782681	-0.05637709	-0.5941249	-0.02958458	-0.1895126	-0.4623425
Fscn1	-0.01579613	0.01349676	0.1051807	0.08244712	-0.008738713	0.0001308724	0.06076133	-0.02287482	-0.03739943	-0.02724752	-0.02881094	0.006629092	-0.01101742	-0.02443628	0.02422189
Fsd1	0.08246254	0.005281932	0.04790612	0.09638032	0.03833345	0.02078564	0.147388	0.009936309	-0.02903362	0.0494346	0.0007169021	0.05606099	0.09261036	0.01909219	0.01180991
Fsd1l	0.01074336	0.01769693	-0.02150452	-0.03294379	0.05303285	0.04574862	0.01428443	0.09134244	0.1578583	0.03861663	0.09945563	0.1685615	0.02985204	0.1507603	0.1772996
Fst	0.07463667	-0.03204706	0.07405489	0.02153914	0.09125507	0.0009395465	-0.04214126	-0.1774173	-0.6639121	-0.02564564	-0.1266005	-1.169449	0.01282778	-0.167136	-0.9814631
Fstl3	-0.003353279	0.03462073	-0.03875234	0.04450927	-0.06284272	-0.1129548	0.01418143	-0.07181552	-0.2260875	0.03366612	-0.04746938	-0.4118393	0.008579784	-0.2116373	-0.4590722
Fstl4	0.001989389	-0.001456067	-0.06134322	0.01066747	-0.039723	-0.109677	-0.03852079	-0.05230878	-0.08655826	-0.08203903	-0.01416536	-0.1679347	-0.1135008	-0.04617359	-0.2144976
Fstl5	0.01414984	0.05125451	-0.1347778	-0.09998118	-0.009402791	0.02972219	-0.0450502	0.1043343	0.1526271	0.02167267	0.2227375	0.1551452	0.04617315	0.1950879	0.1452378
Fth1	-0.09005346	-0.031432	0.07959267	-0.03342338	-0.03359981	0.002352422	0.01619603	-0.007655968	-0.1608444	-0.0009108142	-0.1365743	-0.1311966	-0.07178228	-0.08895985	-0.158244
Ftl1	0.004387652	-0.04027934	0.05544571	0.01477574	0.04735764	0.0194461	0.009111791	0.01004739	0.03734819	0.007836127	-0.05559648	0.04319142	0.0371634	-0.01546307	0.1033442
Fto	-0.02488133	0.01562305	-0.05398888	-0.02765664	-0.03282991	-0.02787186	0.003679178	0.01296866	0.003679178	-0.009059143	0.017371	0.01841817	6.210286e-05	0.01914375	0.02558781
Ftsj1	0.04062294	0.01377568	-0.006865599	0.020897	0.0598874	-0.01445117	0.02579153	0.05904729	0.04606491	0.001172192	0.04181174	0.08924601	0.02680439	0.04877852	0.04813553
Ftsj3	-0.03313753	-0.03688244	-0.03183803	-0.041266	0.01785022	0.01517281	-0.04456584	9.13022e-05	-0.003842318	-0.05949063	0.02049644	0.03777826	-0.04236478	0.02873127	0.1017966
Ftx	0.05942777	-0.07262344	0.003004392	0.01214081	0.01645092	-0.07371417	-0.05837466	-0.00944635	-0.1132876	-0.0005739391	-0.04559923	-0.2223623	0.0007105255	-0.09601563	-0.2857593
Fubp1	0.02877265	0.002208142	-0.02659154	-0.01641924	0.01790223	0.0391953	-0.06125333	0.07143029	0.1220296	0.03706426	0.08908828	0.03731026	0.03907213	0.08215422	-0.04543717
Fubp3	-0.07467603	-0.006009043	-0.06101437	-0.02650066	0.02969295	-0.02119838	-0.03068888	-0.003453406	0.03451414	-0.003752657	0.008337169	-0.0183818	0.03549034	-0.02042283	0.0491465
Fuca1	0.01532851	-0.006872894	-0.0003496692	0.05816468	-0.001068294	-0.01436825	0.07886649	-0.02914532	-0.02971303	0.03605203	-0.0797583	0.004690782	0.04479515	-0.05579101	0.05718078
Fuca2	0.01733476	-0.01749708	-0.04092887	-0.02291656	-0.02891637	0.02948642	-0.006522036	0.02518077	0.09364215	0.03719637	-0.01759021	0.09911359	0.01561854	0.04991423	0.09048133
Fuk	0.01138543	-0.007497245	0.03758268	0.0284741	0.07385943	0.0174167	0.07441131	-0.003828898	0.09587304	-0.001659032	0.02104263	0.1753957	0.01704575	0.05162921	0.1734226
Fundc2	-0.01881088	-0.006328974	-0.04232109	-0.007420857	-0.04806857	0.06992498	0.01333691	0.002950804	0.02475491	-0.005057799	0.003571393	0.06508441	0.02744376	0.01030484	0.09277289
Fuom	0.01242981	0.006054238	0.09745809	0.004550744	0.07812995	0.1365471	0.04934421	0.05741553	0.1776344	0.01001571	0.05380728	0.1833354	0.06647512	0.05151724	0.1121526
Furin	0.02224116	-0.02045405	0.09185444	0.02347936	-0.03188203	0.03895122	0.03759165	-0.01228839	0.04277952	0.03636527	-0.06504448	0.06238075	0.06079587	-0.00571912	0.04652783
Fus	0.06962377	-0.02042259	0.001742944	0.005591167	0.03100135	0.03950067	0.04122576	0.02277041	0.02962842	0.003019524	0.03557353	-0.03411801	7.856389e-05	0.006341721	-0.1333321
Fut10	-0.04075109	-0.01281301	-0.0450576	-0.05148936	0.001577318	0.05966598	-0.06181238	0.08868095	0.1532976	0.001220954	0.1200716	0.08181711	0.0557824	0.114205	0.1962645
Fut11	0.03371481	-0.05905604	-0.03962642	-0.02420927	-0.02513256	-0.1206643	-0.05278674	-0.06780114	-0.23346	-0.03140111	-0.1222759	-0.2260397	-0.1142782	-0.0833901	-0.2445521
Fut8	0.04088084	0.0122987	0.03138155	0.02372374	-0.05528993	0.02581199	0.02339885	-0.01758825	-0.04979624	0.02687815	0.01270265	-0.04883773	0.01173397	0.01004264	-0.02435485
Fv1	0.03328867	0.026228	-0.07034147	-0.03238232	0.07370209	-0.005194277	-0.003960598	0.09820496	-0.04146161	0.01075727	0.08022087	-0.04024292	0.00394949	0.1209646	-0.1077854
Fxn	-0.036539	0.01122696	0.04691097	-0.05666798	0.006883937	0.03150456	-0.01413197	0.08347852	0.02978998	-0.001812478	0.06326016	0.1444474	-0.07190528	0.1134886	0.08384868
Fxr1	0.05402841	-0.05398412	-0.05653484	-0.02727045	0.03357565	-0.03094978	-0.01935717	-0.02551871	-0.07120428	0.03035163	-0.004103171	-0.0301053	0.03016944	0.02195743	-0.02000551
Fxyd1	-0.02263715	0.04996323	0.06556506	-0.0264153	0.03027331	-0.0361969	0.004341664	-0.02545469	-0.2339	0.02680204	-0.07720014	-0.1682408	0.04138798	-0.08986478	-0.2266035
Fxyd2	0.0657001	0.01893162	0.1281671	0.1152594	0.05821804	0.0416371	-0.008713128	-0.04152991	-0.07012275	0.01960289	0.05805269	-0.1117909	0.0740868	-0.03051978	-0.07021029
Fxyd3	0.04724989	0.03599233	0.0814782	-0.06473885	0.05388265	0.009481591	0.01982833	0.04231787	-0.05097853	-0.03830416	-0.03077586	-0.1549625	-0.03664314	-0.1507445	-0.1934028
Fxyd4	0.009200733	-0.02201852	-0.01248905	0.004379679	-0.02346364	-0.01513635	0.0126983	-0.06922631	-0.0584566	0.01393222	-0.07415694	0.02841204	-0.006716081	-0.1195181	-0.07938128
Fxyd5	0.0124166	0.07831659	0.03089444	0.04614561	-0.03328335	-0.0424401	-0.02726054	-0.044919	-0.2244026	0.007053019	-0.07586627	-0.3026379	-0.0069905	-0.15425	-0.3388487
Fxyd6	-0.04317709	0.03605036	-0.07514775	0.02981908	0.08371151	-0.1693709	-0.1637131	0.00323603	-0.1895248	0.009107504	0.04396954	-0.3429961	0.007373198	0.03573941	-0.1571835
Fxyd7	-0.04923294	0.001658221	0.02463042	0.02972795	0.06655793	-0.07556982	-0.05334197	0.04354646	0.08529465	-0.01000247	0.04820893	0.2384712	0.02916917	0.01550434	0.3925044
Fyb	0.008511835	-0.01716355	-0.1054973	-0.01697852	-0.1364787	-0.04620689	0.02815012	-0.05304326	-0.1032079	0.01107867	-0.01967418	-0.1916977	-0.08608968	-0.07495434	-0.08713723
Fyco1	0.05077249	-0.04061882	0.02311981	-0.02298812	-0.08367789	0.06760206	-0.007485242	0.08669871	0.2043997	0.0414095	0.07348361	0.07940093	0.02313795	0.07273097	0.01581702
Fyn	-0.02238325	0.02482683	0.008213521	-0.02109551	-0.004075306	0.01349494	0.01422728	-0.002564884	0.0365806	0.007781171	0.04347706	0.0700753	-0.00378477	0.04401069	0.09206384
Fyttd1	0.03915775	-0.0004575072	0.0105397	0.008653273	0.003034907	0.03956229	-0.02672112	0.004829467	0.0468898	0.02877835	0.004144493	0.0492108	0.05198429	0.0367056	0.06664541
Fzd10	-0.02264411	-0.02895542	-0.02004307	-0.01028437	0.005642559	0.04979765	0.05422092	0.04715059	0.063158	-0.01145528	-0.1429326	0.2748114	-0.01933431	-0.06035181	0.1715323
Fzd2	0.0692271	-0.01880248	-0.02027171	0.03868808	0.05420228	-0.135702	0.06434123	0.01811789	-0.08122129	0.02524631	-0.07069492	-0.1425155	0.04709961	-0.03406172	-0.257211
Fzd3	0.03595402	0.05526961	-0.119084	-0.0460275	-0.05455988	-0.06466089	-0.0746882	0.01009108	-0.07229376	0.04123625	0.02105547	-0.1363679	-0.03737569	0.07321138	-0.287285
Fzd4	-0.03496437	-0.0158643	-0.1445181	-0.04575369	0.04073047	0.000161487	-0.03396235	-0.004995464	-0.03882149	-0.01767175	-0.09485434	-0.03438042	-0.0461557	-0.04074277	-0.004872258
